cat_order,category_slug,category_name,category_active,sub_order,subcategory_slug,subcategory_name,subcategory_active,age_restricted,keywords,category_id,subcategory_id
1,gastronomia,Gastronomía,true,1,restaurante,Restaurante,true,false,"[""comida"",""almuerzo"",""cena"",""menu"",""comer"",""restaurant""]",,
1,gastronomia,Gastronomía,true,2,cafeteria,Cafetería,true,false,"[""cafe"",""café"",""coffee"",""brunch"",""desayuno"",""tinto""]",,
1,gastronomia,Gastronomía,true,3,comida-tipica,Comida típica / regional,true,false,"[""tipica"",""bandeja"",""ajiaco"",""sancocho"",""arepas"",""regional"",""criolla""]",,
1,gastronomia,Gastronomía,true,4,comida-rapida-callejera,Comida rápida / callejera,true,false,"[""rapida"",""hamburguesa"",""pizza"",""perro"",""hot dog"",""fast food"",""delivery"",""food truck"",""calle"",""street food"",""carrito"",""puesto""]",,
1,gastronomia,Gastronomía,true,5,asadero-piqueteadero,Asadero / piqueteadero,true,false,"[""asado"",""carne"",""bbq"",""parrilla"",""churrasco"",""braza"",""piquete"",""fritanga"",""chicharron"",""chorizo"",""picada""]",,
1,gastronomia,Gastronomía,true,6,bar-cerveceria,Bar / cervecería,true,true,"[""bar"",""bares"",""tragos"",""cocteles"",""cócteles"",""rumba"",""nightlife"",""pub"",""drinks"",""cerveza"",""craft"",""birra"",""brewery"",""beer""]",,
1,gastronomia,Gastronomía,true,7,postres-panaderia,Postres / panadería / heladería,true,false,"[""pan"",""pastel"",""torta"",""postre"",""bakery"",""dulce"",""amasijo"",""helado"",""nieve"",""gelato"",""paleta"",""ice cream""]",,
2,alojamiento,Alojamiento,true,1,hotel,Hotel,true,false,"[""hotel"",""hospedaje"",""suite"",""resort"",""eco hotel""]",,
2,alojamiento,Alojamiento,true,2,hostal,Hostal / hostel,true,false,"[""hostal"",""hostel"",""backpacker"",""mochilero""]",,
2,alojamiento,Alojamiento,true,3,finca-glamping,Finca / glamping / camping,true,false,"[""finca"",""quinta"",""casa campo"",""descanso"",""villa"",""camping"",""campamento"",""carpa"",""glamping"",""tienda de campaña"",""cabana"",""cabaña"",""cabin"",""chalet""]",,
2,alojamiento,Alojamiento,true,4,posada-boutique,Posada / boutique,true,false,"[""posada"",""boutique"",""bed and breakfast"",""b&b""]",,
3,naturaleza,Naturaleza y aire libre,true,1,parque-natural-reserva,Parque natural / reserva,true,false,"[""parque"",""reserva"",""bosque"",""national park"",""naturaleza"",""ecologia"",""ecológica"",""biodiversidad"",""conservacion""]",,
3,naturaleza,Naturaleza y aire libre,true,2,sendero-caminata,Sendero / caminata,true,false,"[""caminar"",""caminata"",""hiking"",""trek"",""trekking"",""senderismo"",""paseo"",""trail"",""pie""]",,
3,naturaleza,Naturaleza y aire libre,true,3,cascada-rio-represa-laguna,Cascada / río / represa / laguna,true,false,"[""cascada"",""rio"",""río"",""quebrada"",""agua"",""chorro"",""waterfall"",""lago"",""laguna"",""embalse"",""represa"",""nadar"",""kayak""]",,
3,naturaleza,Naturaleza y aire libre,true,4,playa,Playa / balneario,true,false,"[""playa"",""mar"",""arena"",""balneario"",""costa"",""nadar"",""oleaje"",""surf""]",,
3,naturaleza,Naturaleza y aire libre,true,5,montana-mirador,Montaña / mirador,true,false,"[""montana"",""montaña"",""cerro"",""pico"",""altura"",""escalar"",""vista"",""panorama"",""atardecer"",""viewpoint"",""mirador"",""mirar""]",,
3,naturaleza,Naturaleza y aire libre,true,6,termales,Termales / aguas termales,true,false,"[""termales"",""termal"",""aguas termales"",""jacuzzi natural"",""hot spring"",""agua caliente""]",,
3,naturaleza,Naturaleza y aire libre,true,7,parque-urbano,Parque urbano,true,false,"[""parque"",""parque urbano"",""parque recreativo"",""zona verde"",""picnic"",""pradera""]",,
4,deporte,Deporte y recreación,true,1,cancha-deportiva,Cancha deportiva,true,false,"[""cancha"",""futbol"",""fútbol"",""basquet"",""basket"",""tenis"",""voley"",""soccer""]",,
4,deporte,Deporte y recreación,true,2,tejo,Tejo,true,false,"[""tejo"",""cancha de tejo"",""turmeque"",""pólvora"",""polvora"",""juego tipico""]",,
4,deporte,Deporte y recreación,true,3,piscina,Piscina,true,false,"[""piscina"",""alberca"",""natacion"",""natación"",""nadar"",""agua"",""pool"",""chapuzon""]",,
4,deporte,Deporte y recreación,true,4,patinaje,Patinaje,true,false,"[""patinaje"",""patinar"",""patines"",""skate"",""pista de patinaje""]",,
4,deporte,Deporte y recreación,true,5,gimnasio-fitness,Gimnasio / fitness,true,false,"[""gym"",""gimnasio"",""fitness"",""ejercicio"",""pesas"",""crossfit""]",,
4,deporte,Deporte y recreación,true,6,deporte-aventura,Deporte de aventura,true,false,"[""aventura"",""rappel"",""rafting"",""canopy"",""parapente"",""escalada"",""bungee"",""adrenaline"",""bici"",""bicicleta"",""ciclovia"",""ciclismo"",""mtb"",""paddle"",""surf"",""buceo"",""snorkel"",""correr"",""running""]",,
5,cultura,Cultura e historia,true,1,museo,Museo,true,false,"[""museo"",""exposicion"",""exposición"",""coleccion"",""gallery museum""]",,
5,cultura,Cultura e historia,true,2,centro-historico-patrimonio,Centro histórico / patrimonio,true,false,"[""centro"",""casco historico"",""histórico"",""colonia"",""patrimonio"",""arquitectura"",""edificio historico"",""casona""]",,
5,cultura,Cultura e historia,true,3,pueblo-ciudad,Pueblo / ciudad / destino,true,false,"[""pueblo"",""ciudad"",""municipio"",""destino"",""vereda"",""corregimiento""]",,
